id,prac_2016,vik_2016,prac_2018,vik_2018,prac_2020,vik_2020,prac_2022,vik_2022,datum_exportu,ObjectId,Shape__Length
252,15,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,58,294.547507462961
254,20,0,20,0,20,0,20,0,2024/08/05 00:00:00+00,59,331.277539828068
240,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,60,8071.35088069967
233,20,0,20,0,20,0,20,0,2024/08/05 00:00:00+00,61,2190.05491430781
213,15,15,6,0,10,0,10,0,2024/08/05 00:00:00+00,62,1138.44193876969
47,62,40,50,30,70,35,100,50,2024/08/05 00:00:00+00,63,44.371751136889
231,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,64,2639.39183585035
223,15,0,15,0,20,0,20,0,2024/08/05 00:00:00+00,65,2147.89688663524
224,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,66,1656.60566529169
202,25,0,20,0,20,0,20,0,2024/08/05 00:00:00+00,67,1038.15069784584
199,30,25,40,35,30,20,40,25,2024/08/05 00:00:00+00,68,333.730483965457
218,20,0,10,0,15,0,15,0,2024/08/05 00:00:00+00,69,590.58771578347
201,20,0,20,0,18,0,20,0,2024/08/05 00:00:00+00,70,2692.42286304951
227,15,0,15,0,15,0,25,0,2024/08/05 00:00:00+00,71,470.755772744271
225,15,0,20,0,25,0,30,0,2024/08/05 00:00:00+00,72,253.001855737298
228,15,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,73,984.848077527807
216,15,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,74,526.393424295124
212,22,0,15,0,20,0,20,0,2024/08/05 00:00:00+00,75,891.196890471112
208,22,15,15,10,20,15,26,20,2024/08/05 00:00:00+00,76,475.708988694772
207,31,34,22,18,27,23,30,30,2024/08/05 00:00:00+00,77,422.664478639354
226,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,78,286.283411120821
241,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,79,365.063841816818
204,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,80,2282.00543721464
203,18,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,81,2022.70617820503
